466, 662, 2
50, 232, 2
34, 410, 2
255, 45, 15
583, 507, 1
767, 163, 1
286, 422, 2
933, 912, 3
912, 40, 8
93, 101, 1
929, 658, 1
437, 488, 1
225, 947, 1
794, 440, 2
213, 383, 1
494, 557, 1
18, 536, 2
22, 123, 1
766, 411, 1
119, 21, 7
38, 360, 2
22, 929, 1
318, 717, 3
814, 209, 11
516, 813, 3
928, 434, 2
826, 966, 14
907, 580, 1
966, 210, 42
796, 181, 1
51, 427, 1
728, 910, 182
814, 882, 2
122, 708, 2
541, 636, 1
503, 265, 1
722, 872, 2
418, 420, 2
252, 808, 4
531, 677, 1
957, 572, 11
186, 842, 2
667, 444, 1
635, 527, 1
569, 173, 1
323, 434, 1
431, 230, 1
143, 480, 1
972, 121, 1
805, 824, 1
403, 120, 1
447, 360, 3
933, 558, 3
985, 304, 1
28, 843, 1
787, 896, 1
936, 320, 8
75, 2, 1
532, 549, 1
844, 593, 1
80, 685, 5
361, 47, 1
228, 521, 1
962, 587, 1
53, 994, 1
491, 826, 1
821, 893, 1
788, 451, 1
216, 157, 1
165, 740, 5
353, 798, 1
784, 595, 7
741, 228, 57
402, 624, 6
798, 202, 2
88, 473, 11
444, 449, 1
742, 862, 2
833, 371, 7
390, 672, 6
393, 632, 1
937, 765, 1
662, 483, 1
634, 388, 2
604, 16, 4
163, 985, 1
850, 219, 1
466, 411, 1
813, 565, 1
633, 538, 1
35, 479, 1
723, 609, 3
525, 868, 7
155, 48, 1
40, 113, 1
902, 811, 1
680, 38, 2
882, 463, 1
957, 895, 1
58, 353, 1
672, 199, 1
138, 382, 2
12, 961, 1
979, 331, 1
449, 15, 1
684, 639, 9
403, 319, 1
889, 176, 1
959, 573, 1
515, 45, 5
675, 538, 1
795, 683, 1
351, 162, 27
686, 86, 2
37, 446, 1
356, 837, 1
266, 509, 1
362, 661, 1
925, 289, 1
691, 317, 1
249, 270, 3
499, 595, 1
329, 480, 1
11, 151, 1
272, 837, 1
789, 739, 1
733, 698, 1
459, 21, 3
924, 444, 12
11, 366, 1
639, 93, 3
102, 479, 1
591, 461, 1
257, 99, 1
741, 839, 1
701, 344, 1
460, 987, 1
171, 995, 1
632, 359, 1
