273, 287
911, 632
675, 537
982, 286
881, 166
314, 850
357, 59
753, 170
382, 863
372, 703
197, 124
661, 976
714, 435
609, 178
371, 207
42, 533
287, 184
363, 595
580, 140
305, 812
696, 197
624, 476
484, 410
735, 23
438, 105
8, 175
635, 907
515, 429
118, 799
359, 639
886, 147
827, 798
267, 403
95, 694
398, 124
112, 362
401, 539
472, 212
856, 334
123, 352
143, 759
397, 612
279, 789
680, 791
198, 707
659, 303
205, 948
987, 388
622, 182
666, 828
22, 373
465, 570
459, 101
64, 750
757, 381
815, 62
975, 205
105, 141
745, 782
656, 874
281, 526
233, 723
804, 612
585, 410
960, 894
371, 191
840, 120
692, 621
423, 555
495, 309
207, 533
312, 842
133, 183
778, 647
662, 977
798, 7
858, 318
277, 527
433, 610
813, 337
751, 172
691, 145
656, 252
910, 517
340, 203
438, 169
852, 506
811, 767
456, 522
45, 590
713, 479
439, 304
329, 985
470, 366
303, 257
267, 972
384, 665
923, 148
473, 565
363, 980
517, 158
685, 966
451, 869
243, 255
92, 918
869, 964
504, 204
234, 747
795, 826
699, 165
956, 769
119, 365
766, 932
677, 561
744, 350
468, 327
879, 512
529, 310
135, 321
54, 291
732, 520
795, 214
520, 317
263, 478
460, 111
166, 564
747, 728
903, 6
310, 933
211, 311
590, 284
10, 943
134, 370
261, 991
929, 270
26, 577
752, 475
493, 129
928, 487
691, 795
944, 918
810, 783
695, 437
856, 864
297, 154
532, 618
618, 648
410, 723
707, 786
892, 790
831, 478
306, 178
193, 421
789, 967
836, 110
751, 781
117, 509
126, 181
431, 797
392, 389
953, 921
7, 613
158, 989
575, 923
617, 880
773, 446
520, 396
867, 851
691, 408
468, 684
875, 417
318, 961
799, 281
52, 971
193, 883
240, 994
585, 521
337, 710
261, 673
584, 844
625, 91
576, 319
879, 820
647, 801
116, 472
528, 237
952, 353
140, 122
146, 347
873, 489
315, 27
423, 718
939, 707
988, 848
126, 875
575, 440
239, 265
256, 862
25, 543
733, 974
442, 556
844, 22
944, 779
351, 451
306, 405
201, 164
473, 123
661, 157
695, 380
140, 143
644, 819
919, 143
569, 274
239, 554
855, 113
902, 21
794, 933
105, 869
706, 317
905, 663
249, 130
738, 140
177, 762
292, 536
955, 454
477, 831
966, 471
743, 403
155, 796
652, 670
953, 355
134, 977
269, 897
930, 449
701, 81
110, 393
97, 8
893, 307
421, 337
797, 402
314, 491
875, 442
674, 629
771, 366
622, 417
382, 923
390, 800
981, 608
270, 71
161, 408
399, 293
637, 684
293, 719
317, 462
142, 835
404, 299
621, 496
549, 563
292, 606
482, 138
209, 323
919, 33
768, 159
506, 129
800, 861
499, 466
748, 383
842, 26
945, 890
291, 95
947, 395
225, 708
623, 933
212, 779
967, 219
478, 662
137, 299
710, 468
478, 822
301, 959
182, 112
453, 388
854, 197
503, 844
165, 811
118, 592
864, 104
965, 773
308, 583
695, 130
176, 429
166, 991
966, 966
450, 13
766, 758
925, 145
651, 510
752, 157
560, 973
334, 714
574, 28
30, 418
524, 539
298, 963
845, 323
871, 453
33, 609
856, 437
41, 797
318, 490
672, 209
126, 895
53, 176
918, 880
682, 181
841, 878
724, 550
101, 821
273, 205
781, 453
755, 194
847, 815
234, 351
753, 312
994, 332
121, 598
338, 151
404, 877
774, 474
695, 248
649, 796
36, 539
549, 197
198, 828
8, 7
314, 110
899, 291
917, 750
395, 277
37, 176
131, 83
164, 575
107, 782
648, 623
77, 596
895, 717
357, 687
230, 485
221, 697
313, 658
543, 682
507, 2
818, 686
69, 644
581, 334
253, 337
733, 492
844, 679
918, 240
879, 952
31, 827
710, 82
625, 533
289, 401
955, 404
237, 137
11, 270
303, 530
475, 375
849, 161
474, 722
39, 592
675, 120
591, 870
866, 234
506, 374
297, 777
388, 50
234, 164
678, 979
743, 522
145, 956
662, 443
277, 640
844, 623
451, 661
242, 86
785, 487
780, 686
347, 138
500, 252
101, 61
240, 408
582, 743
969, 356
226, 622
16, 660
632, 266
520, 496
403, 79
65, 194
91, 166
696, 425
506, 977
695, 439
817, 946
828, 476
338, 536
713, 227
355, 571
167, 698
984, 943
162, 258
985, 998
891, 762
970, 205
736, 967
734, 587
953, 197
843, 627
920, 711
147, 851
925, 155
647, 863
804, 264
440, 667
955, 199
270, 361
387, 999
330, 668
188, 52
75, 696
506, 702
550, 370
485, 408
840, 32
899, 51
38, 46
118, 544
521, 177
169, 79
849, 965
351, 731
463, 915
17, 675
424, 308
689, 354
114, 377
457, 717
811, 463
113, 741
511, 541
211, 28
223, 417
160, 616
575, 47
792, 549
39, 594
926, 452
103, 95
301, 785
985, 198
34, 915
968, 678
83, 899
129, 113
792, 220
154, 425
758, 620
442, 860
288, 200
808, 341
738, 886
284, 853
121, 151
512, 902
410, 942
519, 538
525, 791
781, 295
249, 862
715, 749
524, 608
559, 221
188, 530
736, 282
993, 295
488, 451
193, 894
747, 387
127, 617
113, 631
410, 695
169, 150
693, 819
441, 811
875, 803
400, 600
929, 590
341, 418
